Stock_ID,Pharmacy_ID,Medicine_ID,Current_Quantity,Reorder_Level,Expiry_Date
ST00055,PH012,M018,371,44,2026-06-07
ST00056,PH015,M004,432,45,2027-05-21
ST00057,PH020,M013,491,81,2026-12-25
ST00058,PH003,M020,453,86,2026-02-07
ST00059,PH015,M013,364,56,2026-06-02
ST00060,PH012,M005,13,37,2027-01-02
ST00061,PH002,M017,112,60,2027-07-23
ST00062,PH014,M001,222,70,2027-07-24
ST00063,PH009,M010,300,63,2026-10-25
ST00064,PH003,M004,415,40,2027-02-10
ST00065,PH017,M019,85,94,2027-06-09
ST00066,PH001,M001,330,58,2027-10-03
ST00067,PH018,M005,44,86,2026-07-09
ST00068,PH020,M002,77,46,2026-12-21
ST00069,PH001,M015,195,33,2026-11-25
ST00070,PH018,M013,138,43,2027-09-11
ST00071,PH019,M018,54,54,2027-09-23
ST00072,PH011,M004,326,68,2027-06-08
ST00073,PH009,M008,146,16,2026-06-25
ST00074,PH003,M020,252,17,2026-07-23
ST00075,PH001,M014,469,38,2026-11-01
ST00076,PH017,M007,86,38,2026-12-10
ST00077,PH017,M014,99,43,2026-04-29
ST00078,PH012,M006,51,36,2027-08-25
ST00079,PH014,M016,326,49,2026-05-08
ST00080,PH015,M004,129,48,2027-07-12
ST00081,PH012,M020,4,69,2026-04-09
ST00082,PH008,M018,128,52,2027-03-09
ST00083,PH017,M009,184,80,2027-02-22
ST00084,PH003,M014,416,30,2026-11-12
ST00085,PH017,M009,398,38,2027-08-18
ST00086,PH017,M020,395,37,2026-09-25
ST00087,PH002,M009,146,82,2027-08-13
ST00088,PH003,M017,357,88,2026-12-23
ST00089,PH017,M004,432,28,2026-09-06
ST00090,PH017,M013,232,38,2027-09-30
ST00091,PH015,M020,197,13,2026-02-27
ST00092,PH017,M014,369,10,2027-12-03
ST00093,PH016,M017,16,47,2027-09-09
ST00094,PH019,M002,111,36,2026-07-16
ST00095,PH013,M007,52,32,2027-12-16
ST00096,PH011,M004,398,95,2027-05-25
ST00097,PH015,M014,305,77,2026-08-31
ST00098,PH014,M016,340,25,2026-10-03
ST00099,PH019,M001,458,80,2027-08-22
ST00100,PH012,M002,266,51,2026-10-21
ST00101,PH005,M009,21,25,2026-07-01
ST00102,PH017,M006,246,34,2026-04-29
ST00103,PH012,M010,76,21,2026-06-14
ST00104,PH012,M017,272,69,2026-03-24
ST00105,PH013,M011,456,69,2026-03-25
ST00106,PH006,M009,136,56,2026-07-03
ST00107,PH002,M019,270,25,2026-11-29
ST00108,PH017,M004,282,57,2026-11-29
ST00109,PH018,M002,333,56,2026-02-11
ST00110,PH002,M020,265,53,2026-05-05
ST00111,PH014,M017,191,11,2026-12-22
ST00112,PH005,M019,125,52,2026-10-19
ST00113,PH004,M001,232,38,2027-05-03
ST00114,PH005,M002,270,75,2026-06-10
ST00115,PH006,M012,228,43,2027-03-05
ST00116,PH011,M009,327,42,2027-07-22
ST00117,PH002,M014,101,93,2026-10-27
ST00118,PH010,M013,262,15,2026-07-16
ST00119,PH008,M010,12,72,2026-02-23
ST00120,PH006,M014,475,92,2027-04-24
ST00121,PH005,M014,21,23,2027-06-30
ST00122,PH018,M001,424,40,2027-07-21
ST00123,PH004,M010,161,89,2026-02-13
ST00124,PH020,M016,6,68,2027-11-06
ST00125,PH017,M005,149,80,2026-04-24
ST00126,PH010,M019,149,46,2026-05-07
ST00127,PH003,M004,203,100,2026-10-26
ST00128,PH019,M014,128,90,2027-09-29
ST00129,PH009,M018,296,95,2027-05-26
ST00130,PH002,M020,213,48,2027-09-12
ST00131,PH013,M011,132,57,2027-10-26
ST00132,PH002,M002,432,12,2027-11-28
ST00133,PH017,M001,250,41,2027-02-11
ST00134,PH002,M003,169,93,2026-09-11
ST00135,PH009,M017,145,27,2027-09-19
ST00136,PH018,M003,488,49,2027-08-29
ST00137,PH019,M016,268,38,2027-09-24
ST00138,PH001,M020,1,84,2026-02-28
ST00139,PH015,M004,230,14,2026-06-09
ST00140,PH020,M001,90,75,2026-03-10
ST00141,PH004,M008,418,41,2026-06-16
ST00142,PH016,M017,7,87,2026-05-28
ST00143,PH003,M019,410,23,2026-12-02
ST00144,PH017,M018,96,69,2027-06-15
ST00145,PH007,M012,433,64,2027-06-24
ST00146,PH003,M020,450,47,2027-10-12
ST00147,PH011,M011,208,80,2026-08-06
ST00148,PH003,M001,210,87,2026-03-25
ST00149,PH018,M018,152,13,2026-08-22
ST00150,PH018,M016,163,36,2027-12-25
ST00151,PH012,M019,193,58,2026-07-06
ST00152,PH007,M011,156,59,2027-05-02
ST00153,PH020,M012,410,38,2027-08-07
ST00154,PH007,M015,254,86,2026-06-13
ST00155,PH019,M011,242,46,2026-03-09
ST00156,PH011,M015,298,34,2027-05-14
ST00157,PH013,M001,408,28,2027-08-26
ST00158,PH018,M012,188,99,2026-06-24
ST00159,PH019,M017,10,15,2026-06-10
ST00160,PH009,M013,33,47,2026-04-18
ST00161,PH005,M005,423,53,2027-08-26
ST00162,PH001,M009,437,95,2027-07-05
ST00163,PH009,M019,184,24,2026-05-28
ST00164,PH001,M012,186,84,2027-03-10
ST00165,PH016,M005,358,76,2027-06-04
ST00166,PH018,M009,39,77,2027-02-05
ST00167,PH013,M015,401,97,2027-07-28
ST00168,PH017,M013,370,37,2026-07-28
ST00169,PH004,M013,85,37,2027-09-22
ST00170,PH005,M014,181,92,2027-06-17
ST00171,PH006,M009,491,42,2026-10-21
ST00172,PH007,M017,27,66,2027-05-01
ST00173,PH010,M009,92,20,2026-11-28
ST00174,PH020,M011,417,15,2026-12-11
ST00175,PH015,M020,132,100,2027-05-23
ST00176,PH014,M010,157,93,2026-05-11
ST00177,PH012,M002,357,72,2027-10-25
ST00178,PH011,M017,165,35,2026-06-27
ST00179,PH014,M013,66,54,2026-07-26
ST00180,PH018,M016,367,21,2027-04-15
ST00181,PH020,M010,132,42,2026-07-19
ST00182,PH009,M020,284,71,2027-09-10
ST00183,PH014,M008,169,72,2027-07-14
ST00184,PH010,M013,32,23,2026-08-22
ST00185,PH017,M009,160,21,2026-08-12
ST00186,PH001,M005,309,95,2027-10-24
ST00187,PH019,M001,120,13,2026-08-28
ST00188,PH016,M005,13,87,2027-02-08
ST00189,PH014,M006,177,13,2027-01-25
ST00190,PH016,M012,324,28,2026-05-28
ST00191,PH009,M019,245,43,2026-06-19
ST00192,PH003,M002,216,94,2027-04-12
ST00193,PH009,M013,239,64,2026-09-27
ST00194,PH015,M013,17,69,2027-03-06
ST00195,PH001,M014,359,88,2026-11-26
ST00196,PH005,M002,354,27,2026-07-05
ST00197,PH006,M012,402,78,2027-07-23
ST00198,PH012,M005,320,39,2027-08-23
ST00199,PH009,M004,192,100,2026-11-20
ST00200,PH019,M015,294,80,2027-11-26
ST00201,PH010,M016,324,42,2026-03-01
ST00202,PH004,M018,31,71,2027-03-25
ST00203,PH017,M004,481,39,2026-02-19
ST00204,PH003,M001,119,51,2027-03-05
ST00205,PH003,M009,306,90,2027-11-25
ST00206,PH009,M020,85,34,2027-03-15
ST00207,PH004,M004,458,93,2027-04-11
ST00208,PH015,M016,401,43,2027-05-04
ST00209,PH015,M007,36,38,2027-11-16
ST00210,PH007,M009,367,22,2026-05-16
ST00211,PH016,M002,74,69,2026-06-17
ST00212,PH019,M008,170,54,2027-09-07
ST00213,PH016,M008,79,97,2027-07-03
ST00214,PH013,M018,433,71,2026-04-07
ST00215,PH016,M016,160,17,2026-08-07
ST00216,PH009,M017,99,86,2027-09-26
ST00217,PH004,M005,19,61,2027-12-18
ST00218,PH003,M011,173,87,2027-07-14
ST00219,PH019,M006,478,77,2026-09-03
ST00220,PH015,M015,440,55,2026-08-04
ST00221,PH005,M007,442,54,2027-02-21
ST00222,PH012,M012,41,50,2026-06-05
ST00223,PH019,M005,253,92,2027-01-03
ST00224,PH009,M004,417,10,2027-04-07
ST00225,PH016,M012,263,55,2027-07-15
ST00226,PH017,M008,140,58,2026-07-01
ST00227,PH011,M018,26,47,2026-05-26
ST00228,PH019,M003,35,24,2027-03-18
ST00229,PH017,M018,0,33,2027-06-29
ST00230,PH004,M006,168,84,2027-01-28
ST00231,PH009,M006,184,16,2026-11-05
ST00232,PH008,M010,150,27,2027-04-10
ST00233,PH005,M001,139,73,2026-05-03
ST00234,PH010,M018,289,14,2027-07-05
ST00235,PH002,M009,434,84,2026-12-07
ST00236,PH015,M019,186,35,2026-12-01
ST00237,PH008,M008,27,58,2027-03-09
ST00238,PH014,M013,20,45,2027-01-13
ST00239,PH005,M008,214,83,2026-06-17
ST00240,PH007,M018,82,31,2026-03-09
ST00241,PH012,M001,93,55,2027-08-02
ST00242,PH002,M005,285,89,2026-10-26
ST00243,PH014,M018,495,34,2026-03-03
ST00244,PH011,M008,243,78,2027-10-27
ST00245,PH010,M001,301,77,2027-04-08
ST00246,PH014,M017,59,87,2027-08-01
ST00247,PH013,M009,355,76,2027-04-13
ST00248,PH009,M014,222,50,2027-09-05
ST00249,PH007,M012,82,41,2027-07-19
ST00250,PH012,M016,365,22,2026-07-16
ST00251,PH004,M005,82,95,2027-06-11
ST00252,PH001,M004,488,22,2027-09-07
ST00253,PH005,M008,385,53,2027-05-01
ST00254,PH008,M016,336,36,2027-10-04
ST00255,PH008,M006,189,97,2026-03-11
ST00256,PH003,M020,88,30,2027-06-01
ST00257,PH004,M019,219,70,2027-11-23
ST00258,PH001,M008,61,11,2026-12-31
ST00259,PH007,M016,60,77,2026-03-07
ST00260,PH019,M017,75,12,2026-12-18
ST00261,PH008,M007,481,68,2027-12-24
ST00262,PH016,M011,112,19,2026-07-09
ST00263,PH017,M009,425,67,2027-10-01
ST00264,PH009,M008,113,20,2027-02-08
ST00265,PH005,M003,207,65,2026-10-21
ST00266,PH009,M010,430,53,2026-02-11
ST00267,PH015,M009,95,19,2027-06-03
ST00268,PH017,M016,265,39,2026-02-28
ST00269,PH002,M012,465,70,2027-01-30
ST00270,PH006,M011,254,57,2028-01-01
ST00271,PH017,M007,194,46,2027-10-12
ST00272,PH005,M018,366,87,2027-03-13
ST00273,PH013,M018,39,11,2027-04-19
ST00274,PH008,M001,8,71,2027-12-28
ST00275,PH006,M004,286,31,2027-03-11
ST00276,PH012,M008,370,52,2026-09-21
ST00277,PH018,M006,59,76,2026-05-21
ST00278,PH001,M018,484,81,2027-03-25
ST00279,PH010,M005,316,44,2027-12-14
ST00280,PH008,M006,40,43,2027-05-22
ST00281,PH010,M019,116,51,2026-10-18
ST00282,PH019,M010,59,10,2027-10-19
ST00283,PH016,M012,264,70,2027-06-14
ST00284,PH014,M019,269,71,2027-09-10
ST00285,PH013,M001,286,67,2026-04-01
ST00286,PH020,M019,317,36,2027-02-10
ST00287,PH009,M006,231,64,2026-06-09
ST00288,PH020,M007,42,69,2027-11-10
ST00289,PH016,M002,250,67,2026-06-13
ST00290,PH008,M002,342,89,2027-04-15
ST00291,PH014,M019,150,23,2027-04-11
ST00292,PH006,M002,127,24,2027-01-28
ST00293,PH019,M004,168,69,2026-08-19
ST00294,PH004,M010,482,34,2026-03-03
ST00295,PH012,M020,202,24,2027-03-02
ST00296,PH001,M012,13,56,2027-12-30
ST00297,PH001,M008,170,21,2027-07-14
ST00298,PH007,M017,361,61,2026-03-14
ST00299,PH010,M001,9,81,2026-05-21
ST00300,PH019,M018,69,31,2027-12-03
ST00301,PH005,M018,386,41,2026-06-28
ST00302,PH018,M001,5,61,2026-12-19
ST00303,PH012,M013,153,31,2026-11-07
ST00304,PH011,M017,35,86,2027-05-09
ST00305,PH006,M008,288,61,2026-05-15
ST00306,PH005,M010,85,94,2026-06-11
ST00307,PH006,M014,51,61,2027-04-24
ST00308,PH008,M008,203,62,2026-03-16
ST00309,PH012,M007,266,84,2026-11-14
ST00310,PH009,M011,85,47,2027-10-21
ST00311,PH001,M011,440,47,2026-04-10
ST00312,PH008,M006,104,67,2026-05-04
ST00313,PH012,M008,188,69,2027-10-02
ST00314,PH011,M008,311,99,2026-12-02
ST00315,PH011,M012,309,26,2027-08-14
ST00316,PH004,M011,356,90,2026-05-16
ST00317,PH011,M010,241,40,2027-02-25
ST00318,PH012,M007,45,83,2026-09-30
ST00319,PH007,M013,193,53,2026-06-27
ST00320,PH001,M008,163,44,2027-03-22
ST00321,PH003,M005,263,11,2027-02-02
ST00322,PH010,M008,294,100,2026-05-13
ST00323,PH007,M005,80,57,2027-11-05
ST00324,PH011,M014,389,99,2026-03-03
ST00325,PH002,M004,30,24,2026-11-26
ST00326,PH011,M010,247,81,2026-10-01
ST00327,PH014,M009,441,38,2027-05-18
ST00328,PH009,M017,390,28,2027-12-20
ST00329,PH013,M005,110,28,2027-09-05
ST00330,PH018,M014,472,99,2026-05-10
ST00331,PH018,M017,314,18,2027-07-01
ST00332,PH013,M007,180,86,2026-04-16
ST00333,PH005,M009,224,10,2026-11-11
ST00334,PH007,M004,327,28,2026-10-21
ST00335,PH002,M005,326,19,2026-11-19
ST00336,PH002,M020,298,22,2026-11-15
ST00337,PH019,M005,47,43,2026-05-05
ST00338,PH015,M004,11,100,2026-04-22
ST00339,PH020,M003,404,50,2026-11-18
ST00340,PH002,M006,455,29,2026-11-05
ST00341,PH018,M002,212,42,2026-07-27
ST00342,PH001,M010,437,98,2027-08-23
ST00343,PH018,M014,99,36,2027-12-15
ST00344,PH006,M001,346,17,2026-08-10
ST00345,PH014,M017,111,85,2027-05-19
ST00346,PH002,M001,235,34,2026-11-02
ST00347,PH019,M011,98,78,2027-12-04
ST00348,PH004,M001,59,41,2027-04-10
ST00349,PH003,M003,423,97,2027-01-25
ST00350,PH002,M013,158,66,2027-01-29
ST00351,PH013,M013,48,34,2027-10-18
ST00352,PH014,M003,40,16,2027-06-06
ST00353,PH013,M009,232,38,2026-11-25
ST00354,PH002,M008,219,22,2027-12-24
ST00355,PH017,M009,18,61,2026-05-07
ST00356,PH009,M018,329,50,2026-11-05
ST00357,PH014,M002,421,16,2027-07-10
ST00358,PH004,M003,258,47,2027-03-17
ST00359,PH011,M001,104,26,2026-02-24
ST00360,PH015,M016,382,32,2027-03-22
ST00361,PH003,M011,220,79,2026-11-01
ST00362,PH020,M008,347,41,2026-05-24
ST00363,PH010,M015,207,77,2026-11-13
ST00364,PH013,M008,484,79,2027-08-10
ST00365,PH008,M010,279,63,2027-12-03
ST00366,PH007,M001,36,77,2027-08-19
ST00367,PH010,M010,170,98,2027-12-29
ST00368,PH001,M006,187,29,2027-08-29
ST00369,PH009,M008,57,29,2027-09-01
ST00370,PH012,M009,117,25,2026-09-20
ST00371,PH002,M008,191,32,2027-09-30
ST00372,PH010,M015,88,91,2026-08-22
ST00373,PH019,M001,5,58,2027-05-02
ST00374,PH006,M017,500,96,2026-07-11
ST00375,PH011,M006,430,46,2026-10-21
ST00376,PH006,M007,122,95,2026-05-04
ST00377,PH003,M007,95,67,2027-06-09
ST00378,PH007,M009,71,25,2027-04-25
ST00379,PH014,M019,233,82,2027-06-03
ST00380,PH002,M020,315,95,2027-08-23
ST00381,PH009,M012,84,27,2026-03-02
ST00382,PH011,M019,364,71,2027-10-06
ST00383,PH017,M018,491,45,2027-12-18
ST00384,PH012,M011,155,30,2027-06-02
ST00385,PH008,M001,177,76,2026-05-23
ST00386,PH014,M008,368,90,2026-02-09
ST00387,PH017,M003,326,76,2026-09-21
ST00388,PH006,M017,60,55,2027-09-09
ST00389,PH011,M015,91,65,2027-05-03
ST00390,PH014,M017,245,82,2027-08-16
ST00391,PH015,M013,488,14,2027-01-15
ST00392,PH020,M003,367,27,2027-11-22
ST00393,PH015,M019,415,73,2026-06-21
ST00394,PH017,M018,73,42,2027-04-15
ST00395,PH007,M012,284,95,2027-01-19
ST00396,PH020,M007,74,19,2026-04-01
ST00397,PH020,M018,169,54,2027-03-03
ST00398,PH011,M016,198,79,2026-02-11
ST00399,PH004,M016,272,27,2027-10-05
ST00400,PH006,M014,259,79,2027-10-23
ST00401,PH017,M012,42,55,2027-01-19
ST00402,PH004,M019,200,52,2027-04-25
ST00403,PH018,M003,209,92,2027-10-17
ST00404,PH004,M015,458,29,2026-08-18
ST00405,PH004,M009,358,13,2026-10-29
ST00406,PH004,M011,126,54,2026-12-08
ST00407,PH017,M004,96,70,2026-03-16
ST00408,PH006,M014,465,75,2027-09-18
ST00409,PH006,M002,490,12,2027-01-13
ST00410,PH018,M006,25,88,2026-10-05
ST00411,PH012,M015,149,46,2026-04-07
ST00412,PH017,M004,146,62,2027-09-29
ST00413,PH011,M002,455,70,2026-04-07
ST00414,PH010,M003,403,57,2027-06-29
ST00415,PH002,M009,213,54,2027-05-12
ST00416,PH005,M003,49,80,2027-05-03
ST00417,PH005,M017,361,78,2026-10-24
ST00418,PH007,M011,318,69,2027-10-27
ST00419,PH002,M007,191,58,2027-01-19
ST00420,PH004,M003,214,86,2027-10-09
ST00421,PH017,M014,1,73,2027-06-21
ST00422,PH017,M010,384,13,2026-09-20
ST00423,PH004,M001,191,87,2027-12-23
ST00424,PH011,M008,91,56,2026-02-12
ST00425,PH017,M012,267,13,2026-10-27
ST00426,PH005,M013,413,67,2026-06-24
ST00427,PH014,M019,212,59,2027-08-28
ST00428,PH005,M010,385,85,2026-11-09
ST00429,PH015,M009,192,89,2026-08-07
ST00430,PH011,M020,224,63,2027-09-03
ST00431,PH005,M009,211,93,2026-12-30
ST00432,PH017,M009,30,36,2027-01-05
ST00433,PH005,M014,71,19,2026-07-24
ST00434,PH002,M010,6,70,2027-08-17
ST00435,PH010,M009,123,70,2026-05-25
ST00436,PH002,M001,432,39,2026-05-06
ST00437,PH011,M008,313,21,2026-07-04
ST00438,PH002,M009,17,80,2026-03-16
ST00439,PH013,M007,401,67,2027-03-09
ST00440,PH008,M003,172,74,2027-04-01
ST00441,PH020,M001,156,56,2026-04-25
ST00442,PH008,M006,319,37,2026-06-01
ST00443,PH003,M008,418,68,2026-05-18
ST00444,PH018,M008,145,80,2027-12-08
ST00445,PH008,M002,261,58,2026-10-05
ST00446,PH016,M002,449,23,2026-07-07
ST00447,PH014,M016,372,90,2027-06-13
ST00448,PH001,M015,308,44,2026-04-05
ST00449,PH009,M005,456,76,2026-08-02
ST00450,PH009,M018,273,40,2026-04-30
ST00451,PH010,M009,348,64,2027-07-30
ST00452,PH006,M002,137,12,2026-04-24
ST00453,PH018,M001,337,72,2027-10-20
ST00454,PH009,M020,260,11,2027-12-25
ST00455,PH001,M014,179,89,2027-02-18
ST00456,PH008,M009,392,70,2027-09-05
ST00457,PH012,M016,197,51,2026-04-14
ST00458,PH007,M020,223,16,2026-05-09
ST00459,PH007,M004,115,26,2026-05-03
ST00460,PH001,M016,322,11,2026-09-18
ST00461,PH006,M010,235,27,2027-05-11
ST00462,PH004,M005,327,26,2026-12-04
ST00463,PH013,M008,421,85,2026-12-14
ST00464,PH017,M009,43,81,2026-11-27
ST00465,PH019,M017,223,89,2026-09-19
ST00466,PH011,M001,74,78,2027-12-25
ST00467,PH012,M001,52,43,2027-04-22
ST00468,PH017,M020,233,66,2026-09-10
ST00469,PH012,M007,350,63,2027-07-12
ST00470,PH014,M013,220,86,2027-04-01
ST00471,PH003,M015,321,15,2026-08-05
ST00472,PH016,M015,394,54,2027-09-07
ST00473,PH003,M003,10,67,2026-07-20
ST00474,PH009,M017,109,50,2026-05-19
ST00475,PH014,M016,385,10,2026-05-18
ST00476,PH001,M008,347,73,2027-05-25
ST00477,PH011,M014,188,77,2027-04-17
ST00478,PH020,M011,301,45,2027-03-17
ST00479,PH016,M007,473,81,2027-11-22
ST00480,PH011,M006,381,32,2026-05-19
ST00481,PH019,M015,217,61,2026-11-08
ST00482,PH012,M018,436,16,2027-05-24
ST00483,PH003,M020,387,17,2027-03-25
ST00484,PH009,M011,236,16,2026-03-12
ST00485,PH005,M009,203,29,2027-09-20
ST00486,PH012,M013,194,74,2026-02-25
ST00487,PH012,M003,35,90,2027-09-15
ST00488,PH010,M015,76,50,2027-12-06
ST00489,PH019,M010,485,75,2027-04-30
ST00490,PH016,M013,60,31,2027-04-19
ST00491,PH017,M011,114,19,2026-11-16
ST00492,PH001,M001,16,33,2026-09-26
ST00493,PH016,M014,244,37,2027-04-20
ST00494,PH001,M012,43,66,2026-04-10
ST00495,PH008,M013,145,45,2027-01-11
ST00496,PH020,M006,124,64,2026-10-21
ST00497,PH019,M020,249,85,2027-08-06
ST00498,PH012,M003,64,48,2027-03-19
ST00499,PH003,M006,382,53,2027-01-20
ST00500,PH020,M011,359,63,2027-10-03
ST00501,PH006,M008,34,76,2026-09-20
ST00502,PH004,M009,413,32,2027-02-17
ST00503,PH013,M002,98,56,2026-05-10
ST00504,PH018,M007,241,36,2026-10-06
ST00505,PH020,M004,256,42,2027-11-28
ST00506,PH017,M014,11,65,2026-04-10
ST00507,PH011,M001,141,77,2027-02-04
ST00508,PH010,M017,245,49,2026-09-01
ST00509,PH019,M002,496,13,2026-07-15
ST00510,PH002,M017,419,98,2027-10-12
ST00511,PH004,M009,29,85,2027-04-03
ST00512,PH009,M013,192,45,2026-08-04
ST00513,PH010,M019,145,19,2027-08-09
ST00514,PH006,M016,165,47,2026-09-10
ST00515,PH002,M015,482,24,2026-12-05
ST00516,PH003,M015,156,73,2027-11-11
ST00517,PH004,M012,236,45,2027-09-23
ST00518,PH019,M013,379,43,2027-05-16
ST00519,PH006,M007,440,65,2027-03-08
ST00520,PH003,M003,235,61,2026-04-14
ST00521,PH009,M016,7,31,2027-05-02
ST00522,PH020,M009,328,17,2026-10-18
ST00523,PH019,M017,339,59,2026-04-14
ST00524,PH004,M004,229,31,2026-10-31
ST00525,PH015,M018,484,88,2026-06-04
ST00526,PH009,M014,179,40,2026-11-07
ST00527,PH013,M003,431,89,2027-11-18
ST00528,PH006,M009,432,14,2026-02-02
ST00529,PH003,M005,25,29,2027-09-15
ST00530,PH017,M019,325,54,2027-02-01
ST00531,PH010,M017,441,25,2027-05-17
ST00532,PH006,M013,244,98,2026-09-20
ST00533,PH003,M005,448,83,2026-08-30
ST00534,PH010,M002,129,68,2026-07-18
ST00535,PH003,M003,240,42,2027-02-14
ST00536,PH014,M002,74,63,2027-05-29
ST00537,PH003,M010,17,61,2026-07-03
ST00538,PH001,M020,197,90,2026-08-26
ST00539,PH003,M015,345,80,2027-02-24
ST00540,PH009,M018,307,67,2026-05-09
ST00541,PH009,M008,307,65,2027-03-29
ST00542,PH002,M001,489,83,2027-07-11
ST00543,PH013,M015,274,10,2027-12-21
ST00544,PH001,M001,33,41,2026-08-25
ST00545,PH002,M007,148,88,2026-02-14
ST00546,PH006,M012,246,53,2026-04-30
ST00547,PH002,M018,331,20,2027-09-22
ST00548,PH007,M020,470,16,2026-06-06
ST00549,PH012,M010,392,12,2026-12-21
ST00550,PH013,M006,209,82,2027-12-11
ST00551,PH011,M019,191,22,2027-09-06
ST00552,PH016,M011,105,87,2027-08-08
ST00553,PH019,M012,497,47,2027-05-06
ST00554,PH014,M020,328,11,2027-09-14
ST00555,PH009,M003,172,76,2027-02-28
ST00556,PH008,M004,295,57,2027-09-08
ST00557,PH002,M008,174,73,2027-09-19
ST00558,PH002,M014,92,94,2026-07-11
ST00559,PH009,M018,389,19,2026-10-01
ST00560,PH019,M005,300,95,2026-10-24
ST00561,PH006,M017,246,26,2027-06-18
ST00562,PH014,M011,35,99,2026-06-01
ST00563,PH010,M002,82,15,2026-02-18
ST00564,PH016,M007,60,90,2026-02-24
ST00565,PH013,M012,84,58,2027-06-07
ST00566,PH016,M013,234,64,2026-10-03
ST00567,PH019,M004,237,19,2026-03-01
ST00568,PH010,M008,129,18,2026-03-06
ST00569,PH013,M005,258,61,2026-10-15
ST00570,PH016,M020,91,35,2026-04-28
ST00571,PH016,M013,41,96,2026-05-11
ST00572,PH009,M015,374,91,2027-07-15
ST00573,PH017,M005,156,42,2027-08-08
ST00574,PH004,M011,409,65,2026-11-12
ST00575,PH005,M013,151,35,2027-10-24
ST00576,PH014,M020,138,55,2027-10-06
ST00577,PH004,M012,58,95,2026-04-16
ST00578,PH013,M003,125,23,2026-11-24
ST00579,PH017,M020,225,98,2026-04-16
ST00580,PH019,M011,170,24,2026-10-28
ST00581,PH013,M006,126,12,2026-05-29
ST00582,PH007,M016,473,24,2027-08-21
ST00583,PH020,M007,75,69,2027-03-13
ST00584,PH014,M012,464,27,2027-03-28
ST00585,PH017,M012,126,11,2027-05-01
ST00586,PH010,M010,23,22,2026-11-07
ST00587,PH007,M013,216,95,2026-10-17
ST00588,PH009,M014,291,11,2026-07-15
ST00589,PH009,M014,204,63,2026-11-12
ST00590,PH012,M002,64,83,2027-08-30
ST00591,PH015,M003,377,74,2027-09-10
ST00592,PH008,M008,63,86,2026-10-24
ST00593,PH015,M005,123,52,2026-07-18
ST00594,PH009,M017,270,15,2027-06-04
ST00595,PH004,M020,346,95,2027-03-19
ST00596,PH008,M003,155,28,2027-09-04
ST00597,PH003,M017,171,19,2027-03-05
ST00598,PH017,M013,79,24,2026-07-03
ST00599,PH010,M008,291,16,2027-11-11
ST00600,PH017,M004,181,87,2027-12-18
ST00601,PH015,M007,77,44,2027-08-26
ST00602,PH007,M004,312,20,2026-12-25
ST00603,PH019,M009,476,33,2027-09-09
ST00604,PH013,M018,304,46,2027-01-31
